Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Age_group,Actual_Risk,Predicted_Risk,Predicted_Proba,Correct
47,male,2,1,1,0,3422,18,4,middle_age,0,0,0.297133973177198,1
63,male,2,1,0,0,7596,30,1,senior,0,0,0.42487949453049983,1
58,female,1,1,1,1,1755,24,7,middle_age,0,0,0.42199177948436656,1
35,male,2,1,0,2,3976,21,4,adult,0,1,0.6149219342002851,0
37,male,1,1,1,2,2118,9,5,adult,0,0,0.4844572951039248,1
37,male,2,1,1,3,1225,10,2,adult,0,1,0.6330663797864827,0
31,male,2,1,1,0,2775,18,1,adult,1,0,0.354026765441689,0
44,male,2,0,3,0,10127,48,1,middle_age,1,1,0.5389599381266728,1
54,male,3,1,4,0,4591,24,0,middle_age,1,0,0.3142027431453921,0
28,female,2,1,1,2,4221,30,0,adult,0,1,0.7239199603323111,0
64,female,2,1,1,0,1364,10,1,senior,0,0,0.230821048643103,1
32,male,3,0,1,0,1505,18,5,adult,0,0,0.2568456486002922,1
28,male,2,1,1,1,1108,12,6,adult,1,0,0.37388129110952095,0
21,male,2,2,2,2,3031,45,5,young,1,1,0.8119501074897029,1
47,male,2,0,1,0,1984,18,4,middle_age,0,0,0.25338088975530476,1
29,female,3,1,1,0,2679,24,1,adult,0,0,0.3939307720036007,1
50,female,1,1,1,3,1047,6,3,middle_age,0,1,0.5751977927324973,0
51,male,2,0,1,3,2892,24,4,middle_age,0,1,0.6622256668156613,0
29,female,2,1,1,1,3499,12,1,adult,1,0,0.4327981434312338,0
27,male,3,1,1,1,3416,27,5,adult,0,1,0.5134391445166299,0
37,male,2,1,0,0,10222,48,5,adult,0,1,0.6099586287230601,0
25,male,2,1,1,3,5152,24,5,young,0,1,0.7486458659240076,0
26,male,1,1,1,2,590,6,5,adult,0,0,0.47535241944618434,1
24,male,2,1,1,0,1800,18,5,young,0,0,0.32563202424648535,1
27,male,2,1,1,2,3652,21,0,adult,0,1,0.6542367658695153,0
23,female,0,2,3,2,3758,24,5,young,0,1,0.6800190310714841,0
29,male,2,0,1,1,2149,12,5,adult,1,0,0.34046617334513146,0
30,female,2,1,1,0,8133,36,1,adult,0,1,0.5362223638313949,0
43,male,2,1,0,2,2899,18,1,middle_age,0,1,0.5989831828024664,0
32,male,2,2,2,2,11760,39,3,adult,0,1,0.7981715739713343,0
23,female,2,2,0,1,1200,12,3,young,0,0,0.48094971506753376,1
40,male,3,1,0,1,1358,24,7,adult,1,0,0.4451237552579897,0
23,female,1,1,1,1,976,18,1,young,1,1,0.505476999464972,1
32,male,2,2,3,0,3062,24,4,adult,0,0,0.3877209480396059,1
54,male,2,0,1,0,1597,24,3,middle_age,0,0,0.2915338427883043,1
24,female,2,1,1,1,4272,20,4,young,0,0,0.486559327310989,1
21,male,1,1,1,1,1289,12,4,young,0,0,0.42502518274131235,1
63,male,2,1,1,1,2924,24,1,senior,0,0,0.4641093882690723,1
26,female,3,1,1,0,10974,36,4,adult,1,1,0.5084165721432722,1
36,male,3,1,1,0,3275,21,1,adult,0,0,0.3563083631978359,1
43,male,3,1,1,1,2442,27,0,middle_age,0,1,0.528272032282543,0
25,female,1,1,2,2,2631,15,6,young,0,1,0.5393428020893168,0
26,male,2,1,1,1,759,12,1,adult,1,0,0.42849635039978323,0
61,male,1,1,1,0,1255,12,1,senior,0,0,0.26040374487169377,1
23,female,2,1,2,0,3488,24,1,young,0,0,0.40846544308442034,1
41,male,3,1,0,0,6313,24,1,middle_age,0,0,0.3988911265136079,1
47,male,3,1,1,2,1209,6,1,middle_age,1,0,0.4436667439569158,0
31,male,1,1,1,0,1546,10,1,adult,0,0,0.2998437211505724,1
38,male,3,1,0,0,2859,12,1,adult,0,0,0.29449217952107726,1
26,male,1,1,1,2,625,12,5,adult,0,1,0.5297614298778692,0
29,male,2,1,1,2,1103,12,5,adult,0,1,0.5094292744717287,0
23,female,2,2,1,1,2511,15,1,young,0,1,0.5179245042249015,0
32,male,2,1,1,2,6078,12,1,adult,0,1,0.5655172997274275,0
40,male,3,1,1,1,3857,30,1,adult,0,1,0.5566960443819217,0
37,male,3,1,3,0,12749,48,5,adult,0,1,0.555036715243596,0
57,female,1,0,1,0,2748,12,3,middle_age,0,0,0.2196528550401254,1
60,male,1,1,1,1,1199,24,1,middle_age,1,0,0.47943007510868463,0
37,female,2,2,1,1,7685,48,0,adult,1,1,0.7807217305914355,1
33,female,2,1,1,0,2831,30,5,adult,0,0,0.4119342799362589,1
23,male,2,0,1,1,1845,45,5,young,1,1,0.6414721494904274,1
63,male,2,1,0,0,1520,15,4,senior,0,0,0.25487993176412854,1
21,female,2,1,2,0,10144,60,5,young,0,1,0.7078953943086472,0
39,male,1,1,0,0,9436,54,1,adult,0,1,0.7046492990642874,0
23,female,1,1,1,2,2101,13,5,young,0,1,0.5511735060418841,0
28,male,2,2,1,1,6199,12,5,adult,1,0,0.45158643141737387,0
40,male,1,1,0,1,1647,21,1,adult,1,1,0.5149648907506948,1
45,male,1,1,0,0,1287,10,1,middle_age,0,0,0.28756008391509896,1
37,male,2,0,0,2,12389,36,1,adult,1,1,0.7429323580918988,1
25,male,2,1,0,0,3105,24,5,young,0,0,0.39397192022480126,1
20,female,2,1,4,2,1577,11,4,young,0,0,0.48187885036314565,1
49,male,1,1,1,0,2096,12,3,middle_age,0,0,0.26674334401238897,1
34,male,2,1,1,2,2415,7,5,adult,0,0,0.45852835568039074,1
30,male,3,1,1,1,3959,36,4,adult,0,1,0.599931825046308,0
27,male,2,1,4,0,5804,24,1,adult,0,0,0.3765469957592533,1
31,male,3,2,1,0,1963,12,5,adult,0,0,0.29518632599108213,1
50,male,2,0,1,2,6224,48,3,middle_age,1,1,0.7555901915258009,1
56,male,2,0,1,3,4796,42,1,middle_age,0,1,0.8086205592679843,0
20,female,2,2,0,0,4675,12,1,young,0,0,0.39484126861697877,1
55,female,2,1,1,1,1603,24,5,middle_age,0,0,0.4335971427344245,1
40,male,3,2,1,3,1905,15,3,adult,0,1,0.6903499640102749,0
22,male,2,0,1,1,3149,24,4,young,0,0,0.473532491744788,1
23,male,1,2,0,1,1936,18,5,young,0,1,0.532295749605118,0
68,male,3,1,1,1,14896,6,1,senior,1,0,0.32947487610946863,0
24,male,2,1,2,2,5595,72,5,young,1,1,0.9053942673584254,1
41,female,1,1,4,0,250,6,1,middle_age,0,0,0.21326401943938833,1
59,male,2,1,1,1,1364,9,5,middle_age,0,0,0.29955747904947794,1
41,male,2,1,0,0,3160,21,5,middle_age,0,0,0.3364847283085956,1
26,female,2,1,1,0,3181,24,5,adult,0,0,0.37609496820218463,1
23,male,1,1,1,2,1246,24,1,young,1,1,0.681916840170118,1
48,male,1,2,1,1,2241,10,1,middle_age,0,0,0.4327651275735756,1
27,male,1,1,1,0,937,24,3,adult,0,0,0.4008600802644787,1
61,female,2,1,0,0,2012,12,3,senior,0,0,0.24734597200542013,1
53,male,2,0,1,1,7119,48,4,middle_age,1,1,0.6351660552914922,1
42,male,2,1,0,2,2427,18,0,middle_age,0,1,0.6095878337501824,0
25,male,2,1,1,0,1262,12,5,young,0,0,0.2763356723150894,1
31,male,2,1,0,1,6350,30,4,adult,1,1,0.5861607053288832,1
34,male,3,1,2,0,1591,21,4,adult,0,0,0.3104205430237932,1
